name,batch,seqlen,head,bw
flash_mla,64,32831,32,3623
flash_infer,64,32831,32,3441
flash_mla_triton,64,32831,32,722
torch,64,32831,64,4
flash_mla,64,32831,64,3557
flash_infer,64,32831,64,3393
flash_mla_triton,64,32831,64,364
torch,64,32831,128,2
flash_mla,64,32831,128,2248
flash_infer,64,32831,128,2196
flash_mla_triton,64,32831,128,185
torch,128,1151,16,3
flash_mla,128,1151,16,2389
flash_infer,128,1151,16,2550
flash_mla_triton,128,1151,16,561
torch,128,1151,32,3
flash_mla,128,1151,32,2309
flash_infer,128,1151,32,2572
flash_mla_triton,128,1151,32,302
torch,128,1151,64,3
flash_mla,128,1151,64,2163
flash_infer,128,1151,64,2643
flash_mla_triton,128,1151,64,161
torch,128,1151,128,2
flash_mla,128,1151,128,1856
flash_infer,128,1151,128,2206
flash_mla_triton,128,1151,128,89
torch,128,2175,16,6
flash_mla,128,2175,16,2904
flash_infer,128,2175,16,2996
flash_mla_triton,128,2175,16,641
torch,128,2175,32,6
flash_mla,128,2175,32,2862
flash_infer,128,2175,32,3003
flash_mla_triton,128,2175,32,338
torch,128,2175,64,4
flash_mla,128,2175,64,2762
flash_infer,128,2175,64,3030
flash_mla_triton,128,2175,64,177
torch,128,2175,128,2
flash_mla,128,2175,128,2115
flash_infer,128,2175,128,2362
flash_mla_triton,128,2175,128,95
torch,128,4223,16,10
flash_mla,128,4223,16,3303
flash_infer,128,4223,16,2881
flash_mla_triton,128,4223,16,903
torch,128,4223,32,7
flash_mla,128,4223,32,3280
flash_infer,128,4223,32,2820
flash_mla_triton,128,4223,32,471
torch,128,4223,64,4
flash_mla,128,4223,64,3224
flash_infer,128,4223,64,2652
flash_mla_triton,128,4223,64,242
torch,128,4223,128,2
flash_mla,128,4223,128,2266
flash_infer,128,4223,128,2453
flash_mla_triton,128,4223,128,123
torch,128,8319,16,14
flash_mla,128,8319,16,3544
flash_infer,128,8319,16,3311
flash_mla_triton,128,8319,16,1141
torch,128,8319,32,8
flash_mla,128,8319,32,3544
flash_infer,128,8319,32,3248
flash_mla_triton,128,8319,32,587
torch,128,8319,64,4
flash_mla,128,8319,64,3524
flash_infer,128,8319,64,3138
